,Tweet
3543,"Wish nothing but the best for @lucassaleh51. Seems like a really good dude and was always a great teammate. That being said, he’s been at the school for 2 seasons and I’m correcting him on the proper name of the school? Bruhhhh  ****University AT Buffalo***** #UBhornsUP https://t.co/CGW39Qjwmz'"
3544,'@beckyburke11 @UBwomenshoops Welcome to the UB family! Can’t wait to get to work! 🤘🏼💙🏀🔥#UBhornsUP #greatthingsahead'
3545,'@beckyburke11 @UBwomenshoops Welcome Coach Burke from your colleagues in the UB alumni office #UBhornsUP 🤘'
3546,"'Today and everyday, thank you @UBWomensSoccer #NationalStudentAthleteDay #WeAreOne #CARE #UBhornsUP https://t.co/5lJqwN3vvP'"
3547,The Bulls drop game two 2-1.  Buffalo returns to action on Saturday with a three game series at Bowling Green.  #UBhornsUP https://t.co/mTlqjxyJzO'
3548,Welcome to Buffalo @beckyburke11! Excited to work with you 🤘🏻  #UBhornsUP https://t.co/M3ugYII1ah'
3549,"End 5: SBU 2, Buffalo 1  #UBhornsUP'"
3550,'@beckyburke11 @UBwomenshoops Congrats coach Burke! Welcome to WNY! You’re going to do awesome things here! #UBhornsUP'
3551,"End 4: Buffalo 1, SBU 1  #UBhornsUP'"
3552,'After a great phone call with @beckyburke11.   I am blessed to say I have received an offer to play basketball @UBwomenshoops.   #UBhornsUP  #MAC https://t.co/vjXxQLFTwu'
3553,'https://t.co/49hxrCpdIJ #UBuffalo #UBhornsUP'
3554,'https://t.co/gN2CTmUbLB #UBhornsUP #UBuffalo'
3555,'https://t.co/c9H4Iyw8rs #UBhornsUP #Amherst #AmherstNY'
3556,BULLS WIN!!!  Lucyshyn strikes out the side to secure the game one victory!  Game two coming up shortly.  #UBhornsUP https://t.co/7sKlChd0Vs'
3557,BOOM!!! Madison Fernimen crushes a two run home run to give the Bulls a 7-2 lead in the top of the seventh!  #UBhornsUP https://t.co/MyBJfdXAUk'
3558,The Bulls add an insurance run in the top of the seventh to take a 4-2 lead!  #UBhornsUP'
3559,Burke was the Big South Coach of the Year this past season. She becomes the 13th head coach in program history. #UBHornsUp @WKBW  https://t.co/27Rmm7lyrM'
3560,"'Bring your parka!! Congrats, @beckyburke11 #UBhornsUP https://t.co/EVNpcsAiOF'"
3561,"Buffalo (gets their) gal! Big hire for @UBwomenshoops. The new coach for the Bulls went 22-8 last year with USC Upstate, compiling a 30-23 record in her two seasons at the helm.   Welcome to the MAC, Coach!! #UBHornsUp https://t.co/MyF54shrW3'"
3562,"Welcome to @UBAthletics and @UBwomenshoops in particular, @beckyburke11.  Congratulations and good luck.  #UBhornsUP'"
3563,JUST IN: Buffalo has announced the hiring of Becky Burke as the new head coach of @UBwomenshoops. Burke has spent the last two seasons as the head coach of USC Upstate.  #UBhornsUP | #MACtion https://t.co/0VRpK7oJir'
3564,"When your new head coach has five letters in their first and last name, only one way to announce them in 2022!!  Fun project today with @UBJonFuller @stranelli and most importantly the creator @Zach_Monell   Welcome to Buffalo @beckyburke11   #UBhornsUP https://t.co/NVarDJcmRr'"
3565,Welcome to Buffalo Coach! 🤘  #UBhornsUP I @beckyburke11 https://t.co/BenbzovkaE'
3566,JUST IN: @beckyburke11 has been named the 13th head coach in program history at @UBwomenshoops. Burke comes to Buffalo from USC Upstate where she was named the 2022 Big South Coach of the Year.  #UBhornsUp | #MACtion'
3567,Our very own Shawntera Hardy spoke at @ubuffalo's 50+ year reunion and shared her journey in co-founding Civic Eagle. She shared the stage with other amazing innovators and #changemakers. #UBhornsUP https://t.co/ttl9gPjDG9
3568,Becky Burke Named UB’s 13th Head Women’s Basketball Coach  🔗https://t.co/DryMv1Tnvq  #UBhornsUP https://t.co/KuRorQL3MO'
3569,Wordle 13 🤘🏻/ 🤘🏻  #UBhornsUP https://t.co/VOHzT1fxD3'
3570,Castro led off the top of the third with a double down the left field line and Steffan followed with an RBI single to tie the game 2-2!  #UBhornsUP'
3571,A little look into the process behind the background: ⬇️  #UBhornsUP 🤘 https://t.co/x0VRFqg0m7 https://t.co/UATULYtdV9'
3572,Alexis Lucyshyn smacks an RBI double to center to give the Bulls an early 1-0 lead!  #UBhornsUP'
3573,Starting lineup for game one!  📊 https://t.co/43l03iwUxv  #UBhornsUP https://t.co/nLvI2ftQrO'
3574,We The North 🇨🇦  #UBhornsUP 🤘🏻 https://t.co/Fvn8IOKfR4'
3575,🇨🇦 🏈 🐃  #UBhornsUP #GreatWhiteNorth #ALL41 #PoundTheRock #ComeRunWithUs #GetTheseHorns https://t.co/qSLiDTmBD8'
3576,Happy National Student Athlete Day! We are so thankful to have such a great group of women representing our program.   #WeAreOne #CARE #UBhornsUp https://t.co/laCQpnUGYL'
3577,It's #NationalStudentAthleteDay!! Thank you to all of our amazing student-athletes  #UBhornsUP https://t.co/sW0B0zJ6Ej
3578,Check out our summer youth and prospect camp offerings! Visit https://t.co/U7utCa34WD to register 🤘🏻   #WeAreOne #CARE #UBhornsUp https://t.co/7QK7he253r'
3579,Bulls Sweep MAC Player Of The Week Honors  STORY: https://t.co/weD07WKyte  #UBhornsUP https://t.co/fBUsFguqcA'
3580,It's GAMEDAY!!! The Bulls take on St. Bonaventure in a doubleheader beginning at 3pm!  📊 https://t.co/niyqqUv0sw  #UBhornsUP https://t.co/K4WXCQ0gZ1
3581,Happy Birthday to Bulls Defensive End Kyler Laing!  #UBhornsUP | @Kyler_Laing https://t.co/BYGaUNjwyT'
3582,'Next stop ➡️ Buffalo \U0001f9ac #UBHornsUp https://t.co/AWZZSzNoTG'
3583,.@CoachMoLinguist gives an update on how practice is going as the Bulls enter the second week of spring ball.  #UBhornsUP https://t.co/K28efnI2GV'
3584,'Ronaldo Segu - Buffalo Basketball #UBhornsUP https://t.co/61uOIE7ITL'
3585,"University of #BORING ⁉️👀  Well, @Sportstalkbuff1 &amp; I shall see just how dull @UBFootball is on April 30th at their 🔵 &amp; ⚪️ Spring Game 😤🤘  #MACtion #UBhornsUP #ALL41 #PoundTheRock #GetTheseHorns https://t.co/8CAUMw7UCW'"
3586,'@dskogman42 Ok it’s been a week or so…come on back! I miss you already!! #UBhornsUP'
3587,Happy Birthday to Bulls Tight End Wyatt Molinich!  #UBhornsUP | @WMolinich https://t.co/d0WXh4VObC'
3588,"'Top class player, first class human! Time to shine @BarbericMarcy #WeAreOne #CARE #UBhornsUP https://t.co/3vIKJplcdQ'"
3589,"@SSN_Buffalo You should have an edit made of all the Bulls in the #NFL so fans, players &amp; recruits know what the future holds at @UBFootball 🤘  #UBhornsUP #ALL41 #ComeRunWithUs #PoundTheRock #GetTheseHorns'"
3590,"Yazid Powell has committed to the University of Buffalo #UBhornsUP 🐃🔵⚪️  Powell averaged 17.4 points, 7.1 rebounds, and 3.9 assists per game this past season. #BassBomb🐠💣 @HarcumMBB https://t.co/BLsfUqGCa0'"
3591,Spring Schedule Update!   Our game against Syracuse has been moved to 2pm and our game against Niagara has been moved to April 20th!   #WeAreOne #CARE #UBhornsUp https://t.co/phcx2bqys5'
3592,Summer Prospect Camp sign up is now open! Visit https://t.co/U7utCa34WD to register!   #WeAreOne #CARE #UBhornsUp https://t.co/yB7NKc2WmC'
3593,Happy Birthday @JohnGWard15 !   #WeAreOne #CARE #UBhornsUp https://t.co/seX6lmr6vr'
3594,'Bulls Conclude Weekend At Northern Illinois #UBhornsUP https://t.co/XgUgKPN4AJ'
3595,"🚨 SCORE ALERT 🚨  Buffalo 3 Northern Illinois 3  6. Hastings 4-6, 7-6(6), *1-2  #UBhornsUP | #GoBulls'"
3596,"HASTINGS FIGHTS BACK FROM 2-5 DOWN IN THE SECOND TO WIN 7-6(6)!  1 set to decide the match in DeKalb!  Buffalo 3 Northern Illinois 3  4-6, 7-6(6), 0-0  #UBhornsUP | #MACtion https://t.co/LC6i8Dozlz'"
3597,'Bulls Score 4-3 Victory At Bowling Green #UBhornsUP https://t.co/cv3Hlk9kFI'
3598,"🚨 SCORE ALERT 🚨  Buffalo 3 Northern Illinois 3  6. Hastings 4-6, 6-6  #UBhornsUP | #GoBulls'"
3599,"SCORE ALERT:  Buffalo 3 Northern Illinois 2  5. Huang 6-2, 2-6, 0-0 6. Hastings 4-6, 1-1  #UBhornsUP | #GoBulls'"
3600,'@shoopdog141 @UB_Wrestling @BULLS_WCRTC We appreciate you and all you do! #UBhornsUP'
3601,"SCORE ALERT:  Buffalo 3 Northern Illinois 2  5. Huang 6-2, 1-3 6. Hastings 4-4  #UBhornsUP | #GoBulls'"
3602,Great weekend for @UBBullssoftball!   #UBhornsUP https://t.co/Fa92KC5Pyz'
3603,Don’t miss out on a chance to showcase YOU! Who are we going to see there?? 🤘  #UBhornsUP | #ALL41 https://t.co/X6RAUD0Ek9'
3604,SCORE UPDATE:  Buffalo takes the doubles point in DeKalb!  Buffalo 1 Northern Illinois 0  #UBhornsUP | #MACtion'
3605,BULLS WIN!!!   Steffan hits the go-ahead RBI single and Lucyshyn picks up the win in the circle.  #UBhornsUP https://t.co/5nss10mDz9'
3606,'Great 1st week of Spring Team/Culture building. Keep #PoundingTheRock and assembling as 1 Team #ubhornsup 🤘🤘 https://t.co/yF0yb2TifJ'
3607,"End 6: Buffalo 2, WMU 0  #UBhornsUP'"
3608,Steffan singles up the right field line to score Kelly and Castro scores on a WMU throwing error to put UB up 2-0 in the bottom of the fifth!  #UBhornsUP'
3609,Scoreless through three innings of play.  #UBhornsUP'
3610,Lucyshyn fielded a pair of ground outs and then finished off the half inning with a strikeout!  The junior will lead off the bottom of the second inning.  #UBhornsUP'
3611,Bulls continue their road trip at Northern Illinois this afternoon.  Second meeting of the season between the Bulls and Huskies  #UBhornsUP https://t.co/9q40XdCn1U'
3612,Bulls flash the leather early as they turn a double play to end the top of the first!  #UBhornsUP'
3613,It's Match Day in Bowling Green.  Bulls take the court in just about an hour against the Falcons  #UBhornsUP https://t.co/LdM3JP5WRC
3614,Lucyshyn delivers a first pitch strike and we are underway!  #UBhornsUP'
3615,Starting lineup for today's series finale against Western Michigan!  #UBhornsUP https://t.co/iQopSdAFFk
3616,"It's GAMEDAY!!! The Bulls go for the series win against Western Michigan!  Reminder, today's game will be played at Kenmore East High School.  📊 https://t.co/niyqqUMBk4  #UBhornsUP https://t.co/0ONd8e81nS"
3617,2023 Norcross HS (GA) WR Nakai Poole (@poole_nakai) picks up an offer from Buffalo.   #D1 #UBhornsUP @routeking_1   https://t.co/wSGDHkotE3 https://t.co/IQ93NrBIhG'
3618,First day of Full-Pads in the books for them BUFFALO BULLS 🤘🏼. My sources tell me that you could hear the pads poppin from miles away! Appreciate all our visitors that traveled to see what the boys in WNY are cookin 💯.  #UBHornsUp | #ALL41 | #RunWithTheBulls | #MACtion'
3619,Bulls drop game two 4-2.  Series finale tomorrow at 12pm.  #UBhornsUP'
3620,Still knotted at two entering the seventh inning.  #UBhornsUP'
3621,"End 5: Buffalo 2, WMU 2  #UBhornsUP'"
3622,"End 4: Buffalo 2, WMU 1  #UBhornsUP'"
3623,"End 3: Buffalo 2, WMU 0  #UBhornsUP'"
3624,Madison Fernimen smacks a double to right to give the Bulls an early 2-0 lead!  #UBhornsUP'
3625,BULLS WIN!!!   Kincanon walks it off with a three run home run to left!   #UBhornsUP https://t.co/7wXxxBx52L'
3626,ICYMI: Here’s a look at Kincanon’s go ahead home run!   🎥 @elainemrussell   #UBhornsUP https://t.co/afyK0MQjPh'
3627,BOOM!!! Olivia Kincanon blasts a two-run home run to right to give the Bulls a 5-4 lead!  #UBhornsUP https://t.co/B5Hwzbm3Fo'
3628,"End 5: WMU 4, Buffalo 3  #UBhornsUP'"
3629,"End 4: Buffalo 3, WMU 1  #UBhornsUP'"
3630,BOOM!!! Rachel Steffan drills a solo home run to right center field to give the Bulls a 3-1 lead!  #UBhornsUP https://t.co/kZeEimcMDN'
3631,"End 2: Buffalo 2, WMU 0  #UBhornsUP'"
3632,"Anna Aguon singles to left, scoring a pair of runs, to put UB on the board!  #UBhornsUP'"
3633,Scoreless through one inning of play.  #UBhornsUP'
3634,Starting lineup for the series opener against Western Michigan!  #UBhornsUP https://t.co/I1FDQ9yaj0'
3635,'After a great conversation with @coach_ksherman I am Blessed to receive my 30th offer from the university of buffalo \U0001f9ac!!! #UBhornsUp @LabWorksTraini1 @CoachMoore313 https://t.co/cbLNYPH1nJ'
3636,Checking out some @ubvolleyball spring action! #UBhornsUP https://t.co/Fypbba3OMu'
3637,'Full pads for \u2066@UBFootball\u2069 today. #UBhornsUP https://t.co/7MCH525JVr'
3638,"It's GAMEDAY!!! The Bulls open their series against Western Michigan with a doubleheader beginning at 3pm.  Reminder, today's games will be played at Kenmore East High School.  📊 https://t.co/niyqqUMBk4  #UBhornsUP https://t.co/iP90Xm1ZPM"
3639,🚨MEETDAY🚨  Busy day for the Bulls as they’ll be at the Colonial Relays and the Geneseo Early Season Invite!  Colonial Relays: 📊 https://t.co/R4IYyFTab7  Geneseo: 📊 https://t.co/V884HL2qsl 📺 https://t.co/ZNvwXcGMdV  #UBhornsUP 🤘 https://t.co/gGyzs46WVU'
3640,'Bulls Claim First Singles Victory At Western Michigan #UBhornsUP https://t.co/txL2dHKtY4'
3641,10 points on 4-of-4 shooting in the first half.   #UBhornsUP https://t.co/haBPfxm4h9'
3642,'Malcolm Koonce @UBFootball @Raiders #Buffalo #Raiders #UBHornsUP @MalcolmKoonce https://t.co/NB70PktKpf'
3643,'😃💙 #UBhornsUP https://t.co/a1ZMzO8jd6'
3644,'Bulls Drop MAC Battle Against Toledo #UBhornsUP https://t.co/RAGwNNcSFL'
3645,Giving &amp; Serving Others 🤘  #UBhornsUP | @PriceRite https://t.co/51f8TnDLEp'
3646,'I am excited to announce my commitment to University at Buffalo for wrestling. Thank you to all the people that have helped me along the way and I’m thrilled for the next 4! #UBhornsUP @DavidWilcox119 @UB_Wrestling @Josh_Thibeault_ @canisiushsWREST'
3647,Great start as the Bulls pick up the doubles point with victories at first and third doubles.  Singles to get underway shortly  #UBhornsUP'
3648,Getting ready for some @ubwomentennis   #UBhornsUP https://t.co/awP6qjLCgK'
3649,'@UBmenshoops @NABC1927 @CBSSportsNet It’s 430pm est…just and FYI! #UBhornsUP'
3650,Just over five minutes away from action here at Miller Tennis Center against Toledo.  Live scoring can be found here: https://t.co/ZfQlvui002  #UBhornsUP'
3651,It's Game Day for Jeenathan Williams at the @NABC1927 Reese's All-Star Game.  Catch all the action live at 3:30 pm on @CBSSportsNet   #UBhornsUP https://t.co/RfiBoKSKvC
3652,Happy Birthday To Freshman Arianna Zumpano !!!  #WeAreOne #CARE #UBhornsUp https://t.co/Bvu2ZTciPl'
3653,"The road trip moves on to Kalamazoo, MI!!  #UBhornsUP https://t.co/aBOkN8Y6kP'"
3654,We've got Friday #MACtion at the Miller Tennis Center.  Come check the Bulls out at 1pm  #UBhornsUP https://t.co/CKaPrHcTOP
3655,"🚨MEETDAY🚨  The Bulls participate at the Colonial Relays hosted by William &amp; Mary! The meet kicks off at 9 a.m.  📍Williamsburg, Va.  📊 https://t.co/R4IYyFTab7  #UBhornsUP 🤘 https://t.co/T2w5P8vz6H'"
3656,It's @MykeWash03 SZN 🐃💨  #UBhornsUP #ALL41 #PoundTheRock #GetTheseHorns https://t.co/4Mw5enMY5r
3657,Wishing the happiest of birthdays to our Head Coach Mo Linguist!🤘🏽  #UBhornsUP | @CoachMoLinguist https://t.co/MY6dYT5tNp'
3658,"'Good luck on your future venture, Dylan! #UBHornsUP https://t.co/DuIKEZdyOq'"
3659,"Well the ""good news"" for the @UBFootball team about getting McDuffie to stay didn\'t last long as he has now re-entered the @RivalsPortal. Best of luck to him going forward. Who ever offers this young man is getting an absolute stud  #UBhornsUP #ForeverABull 🤘 https://t.co/ckFnfMEjJF'"
3660,"Per @247Sports, Transfer Portal PG @MMardrez out of @MeanGreenMBB has had ""in depth conversations"" with @UBmenshoops stating that they came away ""very impressed"" after playing against N. Texas last November and ""still has nightmares to this day"" about McBride  #UBhornsUP'"
3661,"'Thanks to 37 sacks in 2021, @PriceRite was able to donate 37 sacks of food to the New Beginnings Food Pantry. #UBhornsUP https://t.co/ReERgWzWDv'"
3662,'Women’s Tennis To Host Toledo Friday; Travel To BG Sunday #UBhornsUP https://t.co/uoXfoY81OG'
3663,'Bulls Continue MAC Road Trip #UBhornsUP https://t.co/IcusYQTm1G'
3664,Summer will be here soon! Have you signed up yet? Visit https://t.co/EQS5cHw6b6 for more info!  #WeAreOne #CARE #UBhornsUp https://t.co/jRrfA3LeXl'
3665,Paul Peck caught up with @CoachMoLinguist as spring practice is underway.  #UBhornsUP | #PoundtheRock https://t.co/VyjB1LBpCF'
3666,Updated East Division roster for tomorrows @NABC1927 Reese's All-Star Game featuring @UBmenshoops  own Jeenathan Williams  #UBhornsUP https://t.co/J98guLFxxx
3667,A great opportunity for anyone interested! ⬇️  #UBhornsUP https://t.co/WYltAWqH2q'
3668,Come work with the kid and the rest of our ELITE Recruiting Office 💯.  👉🏼 @ronwhitcomb  👉🏼 @UBCoachSchaefer  👉🏼 @thedubbleb  👉🏼 @Drew_House23  👉🏼 @StenHomme   #UBHornsUp | #ALL41 | #RunWithTheBulls https://t.co/ZyZGC4T57C'
3669,🚨Attention UB Students🚨  We’re looking for great additions to our program! Let us know if you would like to RUN WITH THE BULLS 🤘🏼  #UBHornsUp | #ALL41 https://t.co/1oSqzqRHAc'
3670,If you haven’t yet please wish our very own @dkeller330 a very happy birthday🎉 !   #WeAreOne #CARE #UBhornsUp'
3671,'Volleyball Announces Summer Camp Dates #UBhornsUP https://t.co/dm0L9NrP3R'
3672,"'In 1899, after playing G for the Carlisle Indians, Bemus Pierce coached Univ of Buffalo for 1 season, 6-0, undefeated-untied and un-scored upon. @UBFootball #UBhornsUP #ALL41 #CollegeFootball @ClintKPoppe @5thDownCFB @FootballLearn1 @elevenbravo138 https://t.co/42EnfLYEgX'"
3673,First Day Looks.  #UBHornsUP | #PoundTheRock https://t.co/nKrVRg54ir'
3674,BACK TO WORK.   #UBHornsUP | #PoundTheRock https://t.co/XxuEX91jhE'
3675,'🚨SPRING BALL IS HERE!🚨 #UBhornsUP https://t.co/pU5nWMJCFQ'
3676,Looks like the team is gearing up for a strong season in the fall. Can't wait to see them in action this coming season! Go Bulls! \U0001f9ac🤘🏈 #UBuffalo #UBhornsUP https://t.co/6wWBUGcX8A
3677,"""It\'s about coming out here, focusing on the little details, so we can build on last season.""  @UBFootball is back on the field for spring practices - their first spring practices under head coach Mo Linguist and his staff. @WKBW #UBHornsUp  https://t.co/mG3GjdFe4F'"
3678,The road back to a MAC Title is built in the Spring 🏈🏆🐃  #UBhornsUP #ALL41 #PoundTheRock #GetTheseHorns https://t.co/kVxvIm2zu3'
3679,Spring ball is underway...  #UBhornsUP https://t.co/56P1wKVGUK'
3680,Jeenathan Williams Selected to Compete At Reese’s Division I College All-Star Game  STORY: https://t.co/57XkflzYRH  #UBhornsUP https://t.co/SryWynvbWv'
3681,'It doesn’t feel like it outside but it screams Spring here at the Murchie Family Fieldhouse! @UBFootball is holding their first of 14/15 practices - all leading up to their spring game on April 30th. @wkbw #UBHornsUp https://t.co/ODodJcPKa0'
3682,.@UBFootball is back!   #UBhornsUP 🤘 https://t.co/qBcgijIuJB'
3683,Spring Football is underway! #UBhornsUP https://t.co/IkJTnpve81'
3684,'First day of spring practice for \u2066@UBFootball\u2069 #UBhornsUP https://t.co/8BbqShpu0V'
3685,'Classic stuff @shollander2 #UBHornsUp https://t.co/24N3vyzT5a'
3686,"Buffalo F Jeenathan Williams is declaring for the 2022 NBA Draft, sources tell @EVHMedia.  The Rochester native led the Bulls in scoring and minutes played this season. He was also named an All-Mid American Conference first team selection.   #CollegeBasketball #UBHornsUP'"
3687,This is absolutely HORRIBLE news for @UBmenshoops. The team/roster was already going to be VERY bare with all the seniors leaving and now your big talented Center is about to transfer. Any and all momentum earned under Hurley and Oates is completely GONE. #UBhornsUP https://t.co/sllgV55qsw'
3688,"Brutal couple of days for Buffalo WBB.  Saturday: Head Coach Felisha Legette-Jack signs with Syracuse  Monday: G Dyaisha Fair enters the draft portal  In 2022, the Bulls won the MAC Championship and and lost in the 1st round of the NCAA Tournament.  #CollegeBasketball #UBHornsUP'"
3689,'@dskogman42 Sad day when I saw this but not surprised after  they used you terribly this year but hoping you come back! #UBhornsUP'
3690,'After a great conversation with @CoachGregKnox I’ve been given an opportunity to play football at @UBFootball @CoachMoLinguist @RWrightRivals @BHoward_11 @Andrew_Ivins @MohrRecruiting @H2_Recruiting @larryblustein @BHSTornadoFB @Box_Band_Chainz #UBhornsUp https://t.co/oBcRTLUPVg'
3691,__ SCHEDULE UPDATE 🚨  Tomorrow's doubleheader at Canisius has been postponed.  Efforts will be made to make up the games at a later date.  #UBhornsUP
3692,"'@CuseCoachJack Appreciate your work here, Coach!  Guess I’ll follow ‘Cuse WBB now. #UBHornsUp'"
3693,"'Bulls Sweep Northern Illinois, 7-0 #UBhornsUP https://t.co/UqlRBzBjn7'"
3694,'Bulls Close Out Weekend Play #UBhornsUP https://t.co/kRMjhPJRUy'
3695,Live scoring of today's match against NIU can be found here: https://t.co/gEhs5gbw26  #UBhornsUP
3696,'What a legacy @CuseCoachJack leaves behind her in Buffalo. She will be greatly missed. #UBHornsUp https://t.co/iOirH16OQb'
3697,The road swing continues!  The Bulls are at Ball State this afternoon to take on the Cardinals  #UBhornsUP https://t.co/cr2azyUww5'
3698,Back in action at  Miller Tennis Center at 1pm!!  Come cheer on your Bulls as we host Northern Illinois  #UBhornsUP https://t.co/rtgynaOPZI'
3699,"'Very happy for Coach Jack, but sad for Buffalo as well. Losing a great coach and, I fear, Dyaisha Fair, Lexie McNabb, and Georgia Woolley as well. #UBhornsUP https://t.co/bg7Kw42qKP'"
3700, 'Delighted to recognize and honor #UBuffalo’s newest class of graduating seniors! Congratulations! We can’t wait to see what the future holds for you! #UBTrueBlue #SeniorToast https://t.co/bAjQda15HZ'
3701,"It's now or never, #UBClassOf2022! The physical AND virtual Sign-a-Bulls will only be available to sign for TWO MORE DAYS! ✍🏼 \U0001f9ac https://t.co/MVFjEmR6tS #UBuffalo #UBTrueBlue https://t.co/OZ9fD67LvC"
3702,You think the Ooze is your ally? But you merely adopted the mud. We were born in it. Formed by it...  Photos from Oozefest 2022 are now up in a gallery on our Facebook page! 📸 https://t.co/a56zK9sVrI  #UBuffalo #UBTrueBlue https://t.co/J3vke685c6'
3703,"'Congrats to #UBuffalo alum Marcus Yam, BS ’06, on winning a Pulitzer Prize! #UBTrueBlue pride!💙🤘🏽 https://t.co/N9fvRkkBba'"
3704,@IDFellowsCup @PatrickKenney7 I love seeing the @Jacobs_Med_UB @UBuffalo symbol on this picture!  #UBTrueBlue'
3705,"'Feel that #UBTrueBlue pride! The @timeshighered impact rankings recognize #UBuffalo as a leader in sustainability in higher ed again this year. UB is ranked #1 in the U.S. in good health &amp; wellbeing, #2 for climate action &amp; #4 in affordable &amp; clean energy. https://t.co/uwsLa967sS'"
3706,'You’d never know it’s been 3 years since we last stepped foot in the ooze. Feels like home. #UBuffalo #UBTrueBlue https://t.co/yNpXDOSAMD'
3707,"'Such a fun, and dirty, tradition! #UBTrueBlue https://t.co/ksuH5TfHSI'"
3708,'OOZEFEST 2022 LET’S GO! #UBuffalo #UBTrueBlue https://t.co/ioxlWedCzi'
3709,We’re still reveling in the #UBTrueBlue excitement of last week’s @Jacobs_Med_UB Honors Convocation &amp; commencement ceremony!  ➡️ See the graduates who received special recognition: https://t.co/4Zq5X3I7pe ➡️ Revisit commencement memories: https://t.co/1NyuIxuEH8  #UBuffalo https://t.co/sUxb1Zmlq0'
3710,#UBuffalo's own Spider-Man (AKA UB Spidey) has made it his mission to spread #UBTrueBlue positivity around campus and brighten the days of his fellow students! 💙  https://t.co/VsvFJl5IoC
3711,"🏐 OOZEFEST IS TOMORROW 🏐 🏐 OOZEFEST IS TOMORROW 🏐 🏐 OOZEFEST IS TOMORROW 🏐 🏐 OOZEFEST IS TOMORROW 🏐  Come cheer on your friends and check out all of the sweet costumes! Just don't wear your finest threads, ok? We cannot guarantee their cleanliness. #UBuffalo #UBTrueBlue https://t.co/B9wHUH9WWq"
3712,'Some of our #UBuffalo nursing students celebrating Nurses Month with ice cream before class! #UBTrueBlue #NursesMonth #NursesWeek https://t.co/PPjCwgbrHH'
3713,'#UBuffalo is a national leader in #sustainability. #UBTrueBlue. https://t.co/Vpead0qkXw'
3714,"'Many thanks @UBPSS, #UBuffalo Outdoor Adventure &amp; @ubvolleyball for a great job in cleaning up Lake LaSalle this past weekend!   Awesome #UBTrueBlue on display and another great event during Sustainability Month https://t.co/4OtBj4arLr'"
3715,'Rest up. Oozefest is 7 sleeps away! #UBuffalo #UBTrueBlue https://t.co/gRfBpfwnKd'
3716,"'Was so glad to celebrate the 40th anniversary of @UBHonors yesterday! As an alum, I received excellent education there that prepared me well for @Jacobs_Med_UB and generous scholarships that reduced my student loans. #UBTrueBlue #Buffalove #WomenInMedicine #Neurology https://t.co/zDUG0LtUKn'"
3717,"You've done the hard work. It's time to start celebrating yourself and your classmates! Put on your cap and gown, take that graduation photo, eat a #UBuffalo cookie, and show the world what a #UBTrueBlue graduate can do. https://t.co/B6pjt9cQDt"
3718,"'Graduation day has finally arrived! #UBuffalo medical students: Heartfelt congratulations on officially becoming doctors! At @Jacobs_Med_UB, we have deep #UBTrueBlue pride in your hard work &amp; accomplishments. We know the #UBClassOf2022 will go on to positively change the world.💙 https://t.co/Lx6kuONcMM'"
3719,"Ready to leave your mark, #UBClassOf2022? ✍🏼You now have two options to Sign-a-Bull!   The physical bull will be available to sign every weekday until the last day of classes. Can’t make it? No problem. You can also sign virtually! https://t.co/MVFjEmR6tS #UBuffalo #UBTrueBlue https://t.co/zxxgZyGRqN'"
3720,'@dysclinic @UBSurgery @AANMember @wolfegil @DrABrashear We have #UBTrueBlue pride in our physicians’ in-person and remote volunteer efforts. Dr. Blitshteyn: The work that you and Dr. Epstein do is so important. 💙'
3721,A display of excellence! 📊🏅 The School of Management was well represented at today's Celebration of Student Academic Excellence in Alumni Arena. Congratulations to everyone who was honored and kudos for showcasing your hard work!  #UBMgt #UBuffalo #UBTrueBlue https://t.co/VO0QWGefin
3722,SPRING FOOTBALL April 30⁉️ sign us up!!  🚨Fan fest begins at 11:30am before the game 🚨Meet and greet the team and coaches at the conclusion of the match  ⚪️🔵who will you choose?⚪️🔵 https://t.co/T0jgGSHfAI'
3723,'Feel the #UBTrueBlue pride! https://t.co/A8ZaxbZQ5D'
3724,"Lake LaSalle Shoreline Cleanup SATURDAY, APRIL 30 | 9:00 AM - NOON Show your #UBTrueBlue spirit and join #UBPSS members to clean up the shoreline of #UBuffalo's beautiful Lake LaSalle.   RSVP or inquire to Don Erb at 716-645-5619 or at erb@buffalo.edu https://t.co/6WgTJLhrta"
3725,"'Great catching up with one of #UBuffalo’s most distinguished alumni, @wolfblitzer, and sharing our #UBTrueBlue pride! https://t.co/14KltXDm9h'"
3726,'@ViktoriaKrista 💙 Wonderful feature! We are extremely proud of our Class of 2022. #UBTrueBlue'
3727,"'It’s Friday, so wear your #UBuffalo blue or fly your UB flag to show your #UBTrueBlue pride! Aswad Jackson &amp; Shawn Gibson (a UB alumnus) are proud to be pursuing medical degrees at @Jacobs_Med_UB. Explore our MD program to see why they love training at UB: https://t.co/2Oy0Klf3TD https://t.co/P4nFmNEoeV'"
3728,'Happy #EarthDay #UBuffalo! 🌎 Sustainability and caring for our planet are things that are close to our hearts and make us feel that #UBTrueBlue pride! 💙 https://t.co/RGHrMP4rs5'
3729,"Don't miss out on this #UBTrueBlue tradition, #UBuffalo! https://t.co/WcTb6rV9ot"
