,Tweet
28,"Person  who  thinks  their  personal  agenda  is  more  important?  Well  you  just  described  Justices  Thomas,  Alitio,  Gorsuch,  Kavanaugh  and  Barrett.            Lose  a  law  license?  What  ethics  rule  at  #SCOTUS  did  they  violate?  What  law  did  they  violate?  https://t.co/QvSMqrDPNI'"
29,"In  this  article  @UKCoachCalipari  talks  about  why  students  should  transfer  to  Kentucky  for  many  reasons  other  than  #NIL.    Missing  from  the  list  is  an  education.  Has  @universityofky  become  part  of  basketball  team,  rather  than  a  school  with  a  basketball  team?'"
30,Why  were  you  the  only  one  who  could  not  see  that  Kavanaugh  would  vote  to  over  turn  Roe?  https://t.co/oCiqdD4VFb'
31,"Not  the  first  leak  from  #SCOTUS.  In  late  1970s  or  early  1980s  there  was  a  report  on  the  Snepp  case  before  the  decision  was  released,  but  not  a  draft  of  the  actual  decision.  https://t.co/0zmeQ7I10R'"
32,Hey  @seanhannity  who  needs  to  take  a  test  on  their  cognative  abilities.  #TheFormerGuy  was  like  this  during  the  four  years  of  the  plague  before  Covid  https://t.co/zUIHnOgUcd'
33,"Hard  to  believe  that  @Jim_Jordan  could  do  something  worse  than  ignore  sexual  assault  against  members  of  @wrestlingbucks,  but  I  think  overthrowing  the  government  and  Constitution  qualifies.  https://t.co/WiTURRSQ0q'"
34,Well  that  Richardson  appointment  did  not  last  long.  #SaturdayNightMassacre  https://t.co/5FiI4qPKKZ'
35,Congratulations!  https://t.co/Lh8qrvtrOs'
36,Great  day  with  @UBFootball  and  to  see    @JaretPatterson  #Bulls  #UBBulls  #UBHornsUp  https://t.co/hy0yFkZMq6'
37,"Thank  you  to  our  alumni  who  attended  tonight's  class  with  the  second-years  to  chat  about  their  transitions  to  clinical  practice  and  to  offer  tips  on  mentorship,  onboarding  and  more!  #UBuffalo  #UBSPHHP  #UBBulls  #ProudToBeABull  https://t.co/YoCodcK8vV"
38,Buffalo  nation  where  y’all  at  👀🔵⚪️  #ubbulls'
39,"Video  @TheBuffaloNews              Hey  @UBbulls  fans.  Meet  #BeckyBurke,  new  women’s  hoops  head  coach.  https://t.co/LLptNK24hp'"
40,OMG!  UBBulls  hired  a  great  one!  https://t.co/8y4GwwkIl0'
41,Lt.  Col.  Allen  West  is  coming  to  campus  Thursday  at  7pm!  Get  your  FREE  tickets  now!  https://t.co/xpdZAlf6gb            @yaf  #ub  #Buffalo      #ubuffalo  #amherst  #ubbulls  https://t.co/F94clmQ1CZ'
42,"Day  30.  It’s  the  first  week  of  spring  ball,  here  are  my  favorite  locker  room  shots.  #SpringBall  #football  #CollegeFootball  #UBBulls  #UBFootball  #photography  #photographer  https://t.co/5DMS890xpH'"
43,New  article  just  dropped.  #UBBulls      https://t.co/ivOo2p2ZMV'
44,@wgr550  @JimsSteakout  #HoagieHumpDay  I  would  love  to  be  this  week’s  gift  card  winner!    #UBBulls  @Pain_Clinic  @ColtCabana'
45,"@halleee713  NFL  -  #BillsMafia        MLB  -  #BlueJays        NCAA  -  #UBBulls        NBA  -  don’t  care      NHL  -  #CBJ  #Sabres        Premier  League  -  #SUFC  (yes,  I  know  they're  in  the  Colaship)      MLS  -  #TFCLive  #Crew96        PGA  -  don’t  care      NASCAR  -  don’t  care"
46,New  article  just  dropped.  #UBBulls      https://t.co/rRqiTrZ3TV'
47,@HogsHaven  A  3rd  down  rb.    No  loss.    Go  Patterson!  #UBBulls'
48,Let  Pino  play      #ubbulls'
49,Kicking  off  the  day  here  at  @UBFootball’s  pro  day  #All41  #UBBulls  https://t.co/NPTqAxdTW5'
50,My  beloved  Bulls!  Class  of  2000!  #ub  #buffalo  #ubbulls  https://t.co/JdzKZyx7VN'
51,#ubbulls  #bonnies  and  #purpleEagles  lost  their  tournament  games  by  a  COMBINED  5  points.  all  had  a  good  luck  at  winning  the  while  thing  the  way  its  falling.        fml'
52,#UBBulls!  https://t.co/v4ApSkR5H2'
53,"#ubbulls  women  win  79-75  over  ball  st,  going  to  the  ncaa  tournament        niice  https://t.co/s9kj2SGCWK'"
54,What  a  second  half  for  Georgia  Woolley.  Freshman  not  afraid  of  the  moment  and  helps  take  #UBBulls  back  to  the  NCAA  tournament!  🤘🤘'
55,usually  dont  give  a  rip  ab  womens  sports  but  women  #ubbulls  about  to  clinch  the  MAC  title  on  cbs  sports  net.  p  kewl'
56,@PFF  This  is  an  insult  to  the  greatest  BULL  of  all  time.  #ubbulls  @Sir_Brendan'
57,jim  whitesell  needs  to  be  fired      #ubbulls'
58,"segu  misses  the  potential  game  winner,  #ubbulls  lose  by  2      horrible  fuckin  2nd  last  possession.  jim  whitesell  is  a  fuckin  loser'"
59,"#ubbulls  storming  backkkk,  went  from  down  10  to  up  3,  2:41  left      akron  going  to  the  line'"
60,"brutal  final  minute  some  how  #ubbulls  are  tied  at  the  half  32-32  vs  akron      castaneda  has  15  of  the  zips  32  points  jeez,        need  a  hard  foul  boysss'"
61,#ubbulls  -2.5  vs  akron  tips  in  2  minutes  o/u  141.5      #macTournament  quarter  finals  game  on  1520am  and  espn+      buffalo  lost  to  the  zips  in  their  only  meeting  in  january  w/o  fagan  and  mballa'
62,"shit.  1  seed  toledo  (18pt  favs)  survives  by  1  after  trading  buckets  in  the  final  minute  w  CMU.  72-71,  coulda  been  real  nice  for  #ubbulls  who  play  in  30  minutes'"
63,#ubbulls  play  akron  Thursday  1:30pm  in  the  #macTournament  quarter  finals            st  bonaventure  plays  friday  2:30pm  the  winner  of  st  louis  &amp;  la  salle/st  joes  in  the  #a10  quarter  finals'
64,"#ubbulls  lose  by  5  at  kent  state,  yuck'"
65,#ubbulls  lose  by  18  at  home  and  #bonnies  down  17  twelve  minutes  into  the  game  holy  shit  not  a  good  night  for  #buffaloBasketball'
66,"#ubbulls  down  46-32  on  senior  night  vs  toledo  at  half,  brutal'"
67,15-3  toledo  at  13-4  #ubbulls  tonight  at  7pm      buffalo  -2.5  on  a  9  game  winning  streak      #bona  +3  at  vcu  at  8:30  on  cbs  sports  network        #bonnies  &amp;  #rams  both  on    7  game  winning  streaks'
68,@Champion_Lit  @UBFootball  @SSN_Buffalo  @OhioFootball  @BallStateFB  @SSN_BallState  @MiamiOHFootball  @BarstoolMiamiU  @WMU_Football  @SSN_WMU  #UBHornsUp    #UBBulls'
69,__🏈My  latest  WINS  above  RECRUITING  rankings  BY  CONFERENCE  (Win%  rank  above  4-yr  recruiting  rank  '18-'21)            #MACtion      1.  Buffalo      2.  Ohio      3.  Ball  State      4.  Miami  OH      5.  Western  Michigan            See  the  whole  list  at  https://t.co/oHgkNEQ0TI      #UBBulls  #OhioU  #BallSt  #RedHawks  #WMU  https://t.co/F1jjnrYo7t
70,Go  Bulls!  #UBBulls  #WinwithSeneca  https://t.co/47ikibul9q'
71,Summer  Hemphill  (Seneca  Nation)  recorded  a  monster  double-double  with  19  points  and  19  rebounds  for  Buffalo      #NativeAthlete  #Seneca  #UBBulls  #D1        https://t.co/Z6mBIv7luk  https://t.co/NXXa5CzV3Q'
72,#ubbulls  &amp;  #bonnies  win  keeping  their  winning  streaks  alive.  J  williams  with  the  winning  shot  for  buffalo  with  2  seconds  left  to  survive  by  the  skin  of  their  teeth'
73,"#ubbulls  up  13  at  miami  oh,  16  mins  left      #bonnies  up  15  at  home  vs  uri  17  mins  left.  game  on  cbs  sports  net'"
74,#hornsup  🤘🏾#UBBulls  https://t.co/3FfIyIdmYK'
75,#bonnies  -9  home  v  uri  cbs  sports  net  7pm.  Bona  on  a  5  game  winning  streak  and  in  4th  place  in  the  a10      #ubbulls  -5  at  miami  oh  7pm      buffalo  on  a  6  game  winning  streak  and  tied  for  4th  place  in  the  MAC      #buffaloBasketball'
76,#ubbulls  winners  of  4  straight  and  8  of  their  last  10  play  at  eastern  Michigan  at  noon  tomo.  favored  by  9.  they  beat  EMU  last  week  by  38'
77,#ubbulls  up  51-38  at  bowling  green  at  half'
78,#ubbulls  -13  v  E  michigan  tonight  and  #bonnies  -11.5  v  fordham      high  spreads  for  2  underachieving  squads'
79,"John  Stofa,  #UBuffalo  class  of  1964,  played  football,  baseball  &amp;  basketball  for  the  #UBBulls.  🏈⚾️🏀\U0001f9ac            ➡️  He  played  in  the  #NFL  from  1967-1970  and  was  the  #Cincinnati  #Bengals  very  first  QB  during  their  1968  inaugural  season.  https://t.co/q6UNIuh35Z'"
80,#ubbulls  vs  rival  Ohio  7pm  espnU      buffalo  -2.5  over/under  151'
81,Thank  You  for  your  valuable  feedback  @UBCoachJ.  We  are  so  glad  to  know  @PPowercoach  is  making  game  planning  easier  for  you.  🏀❤️            #Basketball  #UBhornsUP  #BuffaloBasketball  #HornsUp  #UBBulls  https://t.co/He2KPTaVvI'
82,"#ubbulls  bad  time  to  miss  8  straight  shots,    now  down  13  late  2h  at  toledo,  brutal'"
83,#ubbulls  up  51-49  at  toledo  15:19  left  2h'
84,"huge  game  for  #ubbulls  tonight  +4.5  @  toledo      buffalo  4-2  in  the  MAC,  toledo  7-1  and  havent  lost  since  1/1  at  kent  state  (who  the  bulls  just  beat  by  13)      game  on  espn+'"
85,#bonnies  -5.5  at  Duquesne  7pm  espn2      #ubbulls  -7.5  home  vs  kent  state  8pm  cbs  sports  net      canisius  and  niagara  also  play  only  on  espn3      #buffaloBasketball  night!'
86,"#ubbulls  on  cbs  sports  net  at  6  at  ball  st      #bonnies  on  espn2  730,  big  game  home  v  vcu'"
87,Jared  Patterson  #UBBULLS  🤘🏾'
88,LET'S  GOOOOOOOOOOOOOOOO!!!!!!!!  #UBHornsUp  @UBbulls  @UBFootball  https://t.co/PSbr2bbS4A
89,TYREE  JACKSON  #ubbulls  🙌🏾🙌🏾🙌🏾🙌🏾'
90,@UBmenshoops  with  my  pops…  little  @bar_elmos  on  the  way…  ❄️  day  tomorrow…  let’s  go  #ubbulls  🤟  https://t.co/OKBYu8IKWT'
91,@wolfblitzer  @BuffaloBills  @NFL  There's  the  man  who  succeeded  Tim  Russert  and  Jack  Kemp  as  our  representative  in  Washington!  #HornsUp  #BullForLife  #GoBills  #BillsMafia  @UBbulls
92,UB  Alum  put  in  work  in  the  league  today?  shout  out  Patterson  and  Means…#ubbulls'
93,"From  December  30,  2010,  “#UBBulls  Fall  Short  in  Upset  Bid  of  #16  #BYU”  -  Jimmer  Fredette  scores  a  game-high  34  points.  🏀\U0001f9ac            ➡️  https://t.co/vxbQ25wn8I  https://t.co/5m0kG8NWBl'"
94,#ubbulls  were  favored  by  8  at  home  vs  miami  oh  .  were  up  7  at  half  and  lost  by  10.  pathetic  final  10  minutes.  whitesell  is  a  BUM      buffalo  needs  a  young  new  coach  https://t.co/mIYXPfn2Xc'
95,@WGR550  #hoagiehumpday  Hope  I  am  a  winner  @JimsSteakout  #Festivus  @BuffaloSabres  @BuffaloBills  @BladeofBuffalo  @AllieWrestling  @AEW  @UBbulls'
96,#winwithseneca  Go  @UBbulls!  https://t.co/v9O3sUMS6w'
97,"Stock  🔼  INVITE  ACCEPTANCE  CB            Dallas’s  OWN  “SOC”  BALLER  ,  it’s  no  coincidence  that  the  SOC  are  the  current  @uiltexas  State  Champions‼️  Congratulations  to  the  @UBbulls  #NFL  Draft  2022  #NFLDraft  🦞🔥🏈  #CajunBowl  https://t.co/Kqk6pZcSpV'"
98,#ubbulls  https://t.co/Kctoo5bDUC'
99,First  career  NFL  TD  for  former  #UBBulls  RB  Jaret  Patterson.  Way  to  go!  #WASvsPHI'
100,Just  watching  #WSHvsPHI  to  root  whenever  @JaretPatterson  or  @Tyree3Jackson  get  the  ball.  #UBBulls'
101,@FanDuel  Kahlil  Mack  #ubbulls  #HornsUp'
102,"13  players  a  part  of  the  early  signing  period  for  the  #UBBulls  Class  of  2022.  But  as  coach  Mo  alluded  to  in  his  media  presser  today,  there’s  still  more  recruits  to  come  https://t.co/mPYQsKXq8h'"
103,3  pt  dogs  #ubbulls  beat  the  hilltoppers  by  10  in  their  barn'
104,@JonAtTheBar  Fwiw  I’m  a  @UBbulls  alum  and  wish  we  could  have  kept  him  but  the  SUNY  system  has  never  prioritized  sports  and  there’s  no  way  we  could  have  paid  him  even  $1M'
105,This  Weekend!  @tariqspencerad1  &amp;  @DuffyOnWCMF  talking  #BrianKelly  #ND  #LSU  #Bills  #Pats  #BillsMafia  #ReggieBush  #MLBlockout  #UBBulls  @UBFootball  @13WHAM  https://t.co/pSjFhwckOq'
106,"tough  loss  for  #ubbulls  by  1  vs  SF  Austin.  took  the  lead  late  but  didnt  get  a  stop  down  the  stretch.    segu  was  nasty  in  the  2nd  half,  janethan  williams  not  so  much'"
107,#ubbulls  -4.5  v  SF  austin  in  cancun  game  on  cbs  sports  network  at  6pm      over  under  155'
108,Where  were  we  on  this  day  in  #CollegeFootballAmerica  history  (2010-2020)?  Today:            #Buffalo  #UBBulls      #BowlingGreen  #AyZiggy      #USF  #GoBulls      #Cincinnati  #GoBearcats      #StAmbrose  #BringTheSting      #Cumberlands  #OneBigTeam      #GoCrimson      #ThisIsYale            📸➡️  More:  https://t.co/WITYCLKDSP'
109,55  yard  fg  w  a  minute  left  #ubbulls  tie  it  up  vs  northern  Illinois  game  on  espn2'
110,Mid-week  #MACtion  and  senior  night  in  Buffalo  tonight  as  the  #UBBulls  honor  the  winningest  class  in  school  history.  Gotta  win  their  final  two  games  including  this  one  against  West  Division  leaders  Northern  Illinois  to  get  bowl  eligible.'
111,"Mild  and  breezy  for  tonight's  #UBBulls  final  home  game  of  the  season.    The  widespread  rain  should  hold  off  until  early  tomorrow  AM,  latest  on  that  all  evening  long.    #4warnweather  #news4buffalo  https://t.co/zPDz65KvEt"
112,#ubbulls  pull  away  late  and  win  69-66  nice  win'
113,#ubbulls  down  3  with  4  minutes  left  at  north  texas'
114,"#ubbulls  had  the  ball  down  5  but  dickenson  w  a  big  block,  mich  goes  down  and  drains  a  3.  deficit  8  with  five  minutes  left      buffalo  was  +12.5'"
115,wolvarines  up  68-60  #ubbulls  storming  back  9:16  left  at  #  6  #michigan'
116,Michigan  winning  51-34  end  first  half  #ubbulls  skunked  from  3.  2  of  16  from  3pt  line  wow'
117,35-19  michigan  burying  #ubbulls  w  7  left  1st  half.  Buffalo  1/12  from  3.  ouch'
118,14-9  #ubbulls  down  at  michigan  after  first  time  out  of  thr  game      Buffalo  was  +12.5      game  on  big  ten  network'
119,"Final  from  Oxford:  Miami  45,  UB  18.  Gabbert  tosses  358  yards  and  4  TDs,  while  the  Red  Hawks  total  185  rushing  yards  as  a  team.  The  Bulls  were  done  in  by  the  big  plays  on  defense,  as  well  as  4  turnovers  and  several  TODs  #UBBulls'"
120,#bonnies  up  19  late  2nd  half.      #ubbulls  football  down  14  at  half.  might  be  lights  out  for  the  season  if  linguist  doesnt  get  these  boys  up  for  the  2nd  half  on  espnU'
121,"must  win  for  #ubbulls  football  at  miami  oh  for  bowl  eligibility        down  10-7  late  1st  q  on  espnU      #bonnies  losing  to  lowly  siena  late  1st  half,  woooof'"
122,"Happy  #MACtion  Tuesday  to  all  and  Joyous  @TheBronzeStalk  Week!      👀  #UBBulls-#MiamiOH      🏭  #EMU  at  the  FACTORY  +  Creighton  Appreciation      🏆  #GoRockets-#BGSU      🌽  #BallState-#NIU      🎆  #KentState-#FireUpChips            PLUS:  live  #B1G  #CFBPlayoff  rankings,  reax  👇  https://t.co/hfUflYWLjH'"
123,"@TKnlght  @FiftyDeuce  @BuffaloBills  @UBbulls  Oh,  that  shit  ain't  happening.  That's  why  I  wanted  the  talkers  to  stop  yapping  about  it!  😜"
124,@billsfanmonica  @FiftyDeuce  @BuffaloBills  @UBbulls  It  wouldn’t  make  sense  for  the  Bears  to  trade  @FiftyDeuce  his  contract  is  backloaded  and  Chicago  loves  Mack'
125,@billsfanmonica  @FiftyDeuce  @BuffaloBills  @UBbulls  52  on  my  team  they  better  not  trade  him  Nothing  short  of  Josh  Allen'
126,"Okay,  will  you  @FiftyDeuce  conspiracy  theorists  please  stop  cuz  my  @BuffaloBills  heart  can't  take  it!!!  @UBbulls  😬😃💙  #nfltradedeadline"
127,"@davewills34  @ElmhurstBluejay  Former  @UBbulls  football  coach  in  the  @MACSports,  too!'"
128,This  is  a  random  @Quian1of1  appreciation  tweet  #UBbulls'
129,@ChrisOB413  @UBbulls  https://t.co/k86yjE020Y'
130,"C'mon,  #UBBulls!"
131,@UBBulls  ranked  #4  in  sacks  allowed  nationally.      What  an  amazing  OL!      Game  day  tomorrow.  https://t.co/w0Egw6UTb7'
132,New  @UBFootball  program  record  ☑️      Surpass  @FiftyDeuce  to  set  that  record  ☑️      Help  the  Bulls  get  back  to  .500  ☑️  Not  a  bad  week  for  the  sophomore  DE.              Check  him  out  now  on  the  latest  show!  #UBBulls  #HornsUp  https://t.co/7rSe15Z6gT  https://t.co/BcJ02QSc9d'
133,#UBBulls  DE  Kyler  Laing  with  the  chop/spin  sack.  Great  job  chopping  the  hands  down  &amp;  finishing  his  spin  with  the  “ice  pick”            @Kyler_Laing  broke  the  school’s  single-game  sack  record  vs  Akron  (3.5)  #passrush  #nfldraft  https://t.co/9z7otnTXDW'
134,"@rebeccagrants  Unfortunately,  I  got  #OhioState.    They've  been  strengthening  every  week.    I  know  you'd  be  ecstatic  if    the  #UBBulls  got  a  #B1G  invite.    Then  you'd  DEFINITELY  have  a  fave!"
135,@ChrisOB413  University  at  Buffalo  (UB)  Bulls  #UBBulls  https://t.co/LEwELa81Tb'
136,"@DadsOnSports  @msudogsrule  @DanWolken  as  a  @UBbulls  alum  we  dont  really  fit  in  with  the  MAC  either  but  despite  recent  success  in  FB/MBB/WBB  we  dont  have  the  athletic  budget,  facilities,  or  recruiting  footprint  to  attract  any  larger  conferences  unfortunately'"
137,former  #ubbulls  WR  https://t.co/6TefM8dLRN'
138,@UBFootball  Amazing!  UB  Bulls  power  on  the  OL  was  key  in  today’s  win.      #UBBulls  69  Go  Gabe!'
139,AND  there  was  a  come  from  behind  victory  for  #UBBulls  today  too!  #OneBuffalo  https://t.co/kzgLW3WhEt'
140,lololol  #ubbulls  settle  for  a  32  yard  fg  snd  of  course  he  misses  FTW      but  ohio  went  offside.  of  course.      from  27  yards      fg  good  buffalo  wins'
141,Checkout  Director  of  Sports  Medicine  and  Wellness  Services  and  preceptor  Dr.  Brian  Bratta  discuss  Covid  and  athletics  with  The  Spectrum.  #UBuffalo  #UBSPHHP  #UBBulls            https://t.co/L2kEDdKnun'
142,@slmandel  im  still  looking  for  a  path  for  @UBbulls  out  of  the  MAC'
143,lol  #ubbulls  instantly  give  up  a  tud  miss  a  24  yard  fg  and  r  now  down  10'
144,#ubbulls  w  28  points  in  the  3rd  quarter  up  38-34  4th  q      game  on  espnU  at  kent  state'
145,Campus  walk  reveals  the  latest  Bull  painting  project.  Nice  to  see  our  students  honor  indigenous  People’s  weekend  in  this  way.  #ubbulls  #IndigenousPeoplesDay  https://t.co/SsqzrAxwqW'
146,#OTD  in  2017  -  the  #UBBulls  incredible  seven-overtime  shootout  game  against  Western  Michigan.    #UBhornsUP  🏈\U0001f9ac              ➡️  https://t.co/VZB5Ih2txg  https://t.co/9at5ushxcZ'
147,Our  team  #ubbulls  https://t.co/5IN9MuJbeC'
148,sure  utah  state  doesnt  have  nfl  but  looking  at  this  crowd  makes  UB  a  fuckin  joke      they  cant  even  get  an  invite  to  the  AAC      track  around  the  field  a  joke  too      #ubbulls'
149,"Incredibly  proud  of  my  fraternity  brother  Lonny  Anger  for  having  his  company,  Merrick  Construction,  selected  as  #2  in  the  #UBFast46  competition.  It  was  also  great  to  have  three  1991  grads  together  in  Buffalo  &amp;  to  meet  UB  President  Satish  Tripathi  #HornsUp  #UBBulls  https://t.co/ZTk0tCxgtQ'"
150,This  is  insanely  good.  ❤️  watching  this  video  and  can’t  wait  to  see  them  compete  again  at  HIGH  NOON!  #UBHornsUp  #UBBulls  https://t.co/0dCW6qfM3Q'
151,The  #UBBulls  have  had  both  punts  of  the  first  quarter  blocked.  They  have  also  blocked  a  field  goal  and  returned  it  95  yards  for  a  college  football  touchdown  #wild'
152,"Post-WWII  football  games  between  #UBuffalo  and  #Niagara  were  important  football  🏈  games.  \U0001f9ac\U0001f9ac            #OTD  in  1947,  a  crowd  of  14,919  watched  the  #UBBulls  defeat  the  #PurpleEagles,  27-14,  at  Civic  Stadium  in  Buffalo,  NY.              ➡️  https://t.co/BF6Ck7KuxN  https://t.co/uj9Gh2CEnJ'"
153,#K9  Lyka  at  the  #UBBulls  Stadium  today.  Horns  up!  @UBuffalo  @UBBullsMafia  @UBBullsNation  @UBBullsFans  https://t.co/2TW4PqkGrx'
154,That  3pt  lose  today  hurt  but  it's  still  #hornsup  🤘🏾  #GoBulls  #UBBulls
155,Solid  performance  from  Buffalo  today  against  a  ranked  Coastal  Carolina  team.  They  just  needed  one  more  defensive  stand  to  pull  off  the  upset.  #UBBulls'
156,moral  victory?  #ubbulls  lose  28-25  their  4th  quarter  drive  took  waaaaaay  too  long'
157,"3rd  Q  starting  14-14  #ubbulls  tied  st  half,  coastal  carolina  starts  w  the  ball  and  is  driving      espn2'"
158,#ubbulls  +14  home  vs  16th  ranked  coastal  carolina      game  on  espn2  at  noon'
159,Waiting  for  @WashingtonNFL  to  put  @JaretPatterson  in  like  #UBBulls  https://t.co/w0OkjQiA7h'
160,That's  a  momentum  killer!!  😩😩😩  #UBBulls
161,This  UB  coach  is  a  disaster.  Who  is  Mo  and  how  is  he  a  head  coach?  How  do  you  go  from  a  dude  with  a  147  -  40  to  a  dude  who’s  never  been  a  head  coach  at  any  level?  He  can’t  have  been  the  only  one  to  apply  right?      #UBfootball  #UBBulls'
162,"Welp,  it  won't  be  a  shutout!!!  #UBBulls  #UBHornsUp"
163,🤦🏾\u200d♂️  #UBBulls'
164,"So  great  to  see  the  current  and  former  #UBBulls  coming  together  to  support  another  Bull  in  her  hour  of  need.            Not  only  are  current  athletes  donating  but  there  are  athletes  from  the  early  2000s  who  have  donated.            If  you  can,  please  donate!  https://t.co/bXXxONcatF'"
165,"#OTD  in  2002,  #UBuffalo  linebacker  Bryan  Cummings  sacks  Ted  Trump  as  the  #UBBulls  thump  #Rutgers,  34-11,  in  New  Jersey.  🏈\U0001f9ac            ➡️  https://t.co/ug1XIxS7w0  https://t.co/zi6yp7BWVm'"
166,"Please,  help  support  this  UB  student  athlete  if  you  can.  #UBBulls  #UBSPHHP  https://t.co/jRBEDGVIVN'"
167,Buffalo  scores  a  nice  69-7  win  over  FCS  foe  Wagner  in  opener  https://t.co/WWU5a163il  via  @Yahoo  #UBBulls'
168,"Casey,  Brandon  and  Erica  enjoyed  the  #UBBulls  huge  win  last  night!  Are  you  ready  for  #Nebraska  next  week?  #UBuffalo  #SPHHP  https://t.co/R306kwsq39'"
169,#ubbulls  football  coach  debut  history        2006  turner  gill  9-3  win  vs  Temple      2010  jeff  quinn  31-0  win  vs  Rhode  Island      2015  lance  leipold  51-14  win  vs  Albany      2021  maurice  linguist  69-7  win  vs  Wagner'
170,We  hope  you  had  an  incredible  first  week  of  classes.  What  better  way  to  end  the  week  than  with  UB  colors?  Wear  your  favorite  UB  apparel  on  campus  today.            #collegecolors      #UBuffalo        #student      #studentlife      #UBBulls      #UBMgt  https://t.co/lIWn61e1Nk'
171,We  hope  you  had  an  incredible  first  week  of  classes.  What  better  way  to  end  the  week  than  with  UB  colors?  Wear  your  favorite  UB  apparel  on  campus  today.            #collegecolors      #UBuffalo        #student      #studentlife      #UBBulls      #UBMgt  https://t.co/xRIc0D5ICQ'
